report_id,community_name,region_id,report_date,reporter_type,local_season,rainfall_level,road_access,seasonal_indicators_text,num_dogs_seen,num_puppies_seen,skin_issue_count,parasite_issue_count,recent_dog_deaths,distance_to_clinic,dog_roaming_level,requested_help,notes,months_since_last_visit,needs_parasite_treatment_3m,needs_scabies_treatment_3m,needs_followup_visit_3m,needs_parasite_treatment_6m,needs_scabies_treatment_6m,needs_followup_visit_6m,needs_parasite_treatment_9m,needs_scabies_treatment_9m,needs_followup_visit_9m,needs_parasite_treatment_12m,needs_scabies_treatment_12m,needs_followup_visit_12m
226,Ramingining,1,2022-02-05,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",123,16,10,11,1,190,high,1,Synthetic ranger field report,2,1,0,1,1,1,1,0,1,0,0,0,1
319,Outstation A,1,2022-02-09,ranger,Kudjewk,high,moderate,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",115,16,7,8,1,95,high,1,Synthetic ranger field report,3,1,0,0,1,0,0,0,0,0,0,1,1
180,Milingimbi,1,2022-02-11,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",83,12,6,9,0,210,high,1,Synthetic ranger field report,1,1,1,1,1,0,1,1,1,0,0,1,1
272,Minjilang,1,2022-02-12,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high",105,16,7,6,0,230,medium,1,Synthetic ranger field report,6,0,0,1,0,0,1,1,0,0,0,1,1
134,Jabiru,1,2022-02-13,ranger,Kudjewk,medium,easy,"monsoon_building, flooded_ground, mosquitoes_high",53,4,6,7,2,40,medium,1,Synthetic ranger field report,2,0,1,0,1,1,0,1,1,0,0,0,0
91,Warruwi,1,2022-02-15,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",103,16,4,7,0,180,medium,1,Synthetic ranger field report,4,0,1,0,1,1,1,1,1,0,1,0,1
362,Outstation B,1,2022-02-16,waldhep_staff,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",64,12,9,8,3,105,high,1,Synthetic ranger field report,1,0,1,0,1,0,0,0,1,1,0,1,0
47,Gunbalanya,1,2022-02-22,ranger,Kudjewk,high,moderate,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",63,12,10,7,0,70,high,1,Synthetic ranger field report,2,1,0,1,1,1,0,1,0,1,0,0,1
408,Croker Camp,1,2022-02-25,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high, dog_movement_high",50,10,5,6,2,160,high,1,Synthetic ranger field report,4,1,0,0,0,1,1,1,0,0,1,0,1
3,Maningrida,1,2022-03-04,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",94,18,9,6,0,120,medium,1,Synthetic ranger field report,1,1,1,0,1,1,0,0,0,1,1,1,1
227,Ramingining,1,2022-03-07,waldhep_staff,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",180,33,8,7,2,190,medium,1,Synthetic ranger field report,3,1,1,1,1,1,1,0,1,1,0,1,1
135,Jabiru,1,2022-03-11,ranger,Kudjewk,medium,easy,"monsoon_building, flooded_ground, mosquitoes_high",37,5,8,7,1,40,medium,1,Synthetic ranger field report,1,1,1,1,1,1,1,0,0,1,1,1,0
181,Milingimbi,1,2022-03-13,waldhep_staff,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",123,14,5,12,1,210,medium,1,Synthetic ranger field report,2,1,1,1,0,1,1,1,1,1,1,0,1
320,Outstation A,1,2022-03-17,ranger,Kudjewk,medium,moderate,"monsoon_building, flooded_ground, mosquitoes_high, dog_movement_high",52,3,1,8,0,95,high,1,Synthetic ranger field report,5,1,1,1,1,0,1,0,1,1,0,1,0
92,Warruwi,1,2022-03-19,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high",105,15,5,4,1,180,low,0,Synthetic ranger field report,1,1,0,1,0,0,1,0,0,0,0,1,0
273,Minjilang,1,2022-03-19,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high, dog_movement_high",39,6,3,3,0,230,high,1,Synthetic ranger field report,8,1,0,1,0,1,1,0,1,1,1,0,0
48,Gunbalanya,1,2022-03-20,ranger,Kudjewk,high,moderate,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",64,8,5,11,2,70,medium,1,Synthetic ranger field report,3,1,1,0,0,0,0,1,0,1,0,0,1
363,Outstation B,1,2022-03-20,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",67,12,7,8,0,105,high,1,Synthetic ranger field report,1,1,1,1,1,0,1,1,1,1,1,1,1
409,Croker Camp,1,2022-04-03,ranger,Bangkerreng,low,difficult,"storm_tail, wet_ground, dog_movement_high",20,3,4,2,0,160,high,0,Synthetic ranger field report,4,1,0,1,1,0,1,0,1,1,0,0,1
4,Maningrida,1,2022-04-04,ranger,Bangkerreng,medium,difficult,"storm_tail, wet_ground, dog_movement_high",98,14,6,5,0,120,high,1,Synthetic ranger field report,1,1,1,1,0,1,1,0,0,1,1,0,0
364,Outstation B,1,2022-04-15,ranger,Bangkerreng,medium,difficult,"storm_tail, wet_ground",96,14,4,7,3,105,medium,1,Synthetic ranger field report,1,1,1,1,1,0,1,0,1,0,1,1,0
228,Ramingining,1,2022-04-16,ranger,Bangkerreng,low,difficult,"storm_tail, wet_ground, dog_movement_high",29,3,4,2,2,190,high,1,Synthetic ranger field report,4,1,0,1,1,0,0,1,0,1,0,0,0
274,Minjilang,1,2022-04-17,ranger,Bangkerreng,high,difficult,"storm_tail, wet_ground, standing_water",37,4,7,9,0,230,medium,1,Synthetic ranger field report,9,1,1,0,0,0,1,0,0,1,0,0,0
49,Gunbalanya,1,2022-04-19,ranger,Bangkerreng,high,moderate,"storm_tail, wet_ground, standing_water",60,5,4,8,1,70,medium,1,Synthetic ranger field report,4,1,1,1,1,0,0,1,1,1,1,0,0
136,Jabiru,1,2022-04-20,waldhep_staff,Bangkerreng,medium,easy,"storm_tail, wet_ground",77,10,5,7,1,40,medium,1,Synthetic ranger field report,1,1,1,1,1,0,0,0,0,0,1,1,1
182,Milingimbi,1,2022-04-21,ranger,Bangkerreng,medium,difficult,"storm_tail, wet_ground",63,9,4,5,1,210,medium,0,Synthetic ranger field report,3,0,1,1,1,0,1,1,0,1,0,1,0
321,Outstation A,1,2022-04-24,ranger,Bangkerreng,low,moderate,"storm_tail, wet_ground",63,6,5,1,0,95,low,1,Synthetic ranger field report,6,1,0,0,0,1,1,0,1,1,0,0,1
93,Warruwi,1,2022-04-28,ranger,Bangkerreng,high,difficult,"storm_tail, wet_ground, standing_water",138,13,9,9,0,180,low,1,Synthetic ranger field report,2,1,0,1,1,1,1,0,1,0,1,0,1
410,Croker Camp,1,2022-04-28,ranger,Bangkerreng,low,difficult,"storm_tail, wet_ground",20,2,5,2,0,160,low,1,Synthetic ranger field report,6,1,1,1,1,0,1,0,1,1,0,1,1
5,Maningrida,1,2022-05-11,ranger,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining",157,14,6,8,1,120,medium,1,Synthetic ranger field report,3,1,1,1,0,0,0,0,0,1,0,0,1
137,Jabiru,1,2022-05-15,ranger,Yekke,low,easy,"cooler_mornings, surface_water_remaining",58,4,3,3,0,40,medium,0,Synthetic ranger field report,1,0,0,1,0,0,0,1,0,0,1,1,1
365,Outstation B,1,2022-05-16,ranger,Yekke,high,difficult,"cooler_mornings, surface_water_remaining, standing_water, dog_movement_high",175,23,7,5,1,105,high,1,Synthetic ranger field report,1,0,0,1,1,0,1,1,1,1,0,0,0
183,Milingimbi,1,2022-05-18,ranger,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining",55,5,4,4,0,210,medium,1,Synthetic ranger field report,5,1,0,1,1,1,0,0,1,1,0,0,1
275,Minjilang,1,2022-05-18,ranger,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining",45,6,2,7,2,230,medium,1,Synthetic ranger field report,9,0,1,1,1,0,1,0,0,1,1,1,0
229,Ramingining,1,2022-05-19,ranger,Yekke,low,difficult,"cooler_mornings, surface_water_remaining",52,6,4,4,1,190,medium,0,Synthetic ranger field report,1,0,1,1,1,1,1,0,0,1,0,1,1
50,Gunbalanya,1,2022-05-22,ranger,Yekke,medium,moderate,"cooler_mornings, surface_water_remaining",63,7,3,3,1,70,medium,1,Synthetic ranger field report,6,1,0,1,1,0,1,1,1,1,1,1,1
94,Warruwi,1,2022-05-25,ranger,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining, dog_movement_high",112,13,1,3,1,180,high,0,Synthetic ranger field report,1,1,0,0,1,0,1,0,0,1,0,0,0
322,Outstation A,1,2022-05-31,ranger,Yekke,medium,moderate,"cooler_mornings, surface_water_remaining",41,6,5,1,1,95,medium,0,Synthetic ranger field report,1,1,0,1,0,0,1,1,0,1,1,0,1
411,Croker Camp,1,2022-06-01,ranger,Yekke,low,difficult,"cooler_mornings, surface_water_remaining",20,3,4,3,1,160,low,1,Synthetic ranger field report,7,1,1,0,0,0,1,1,1,0,0,1,0
6,Maningrida,1,2022-06-11,ranger,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining, dog_movement_high",56,9,3,4,1,120,high,0,Synthetic ranger field report,4,0,0,1,1,0,1,0,0,0,0,1,0
230,Ramingining,1,2022-06-15,waldhep_staff,Yekke,low,difficult,"cooler_mornings, surface_water_remaining, dog_movement_high",74,12,4,3,0,190,high,0,Synthetic ranger field report,1,1,0,0,0,0,0,0,1,1,0,0,0
138,Jabiru,1,2022-06-17,waldhep_staff,Yekke,low,easy,"cooler_mornings, surface_water_remaining",87,12,3,5,2,40,medium,1,Synthetic ranger field report,2,0,0,0,0,0,0,0,0,1,1,1,1
276,Minjilang,1,2022-06-18,ranger,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining",86,18,4,6,2,230,low,1,Synthetic ranger field report,9,1,0,1,1,0,0,1,1,1,1,0,1
95,Warruwi,1,2022-06-21,ranger,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining, dog_movement_high",80,6,5,5,0,180,high,0,Synthetic ranger field report,2,1,1,1,0,1,1,1,1,0,1,1,1
184,Milingimbi,1,2022-06-21,waldhep_staff,Yekke,medium,difficult,"cooler_mornings, surface_water_remaining",26,2,4,6,1,210,low,1,Synthetic ranger field report,6,1,1,1,0,0,0,1,0,0,0,0,1
366,Outstation B,1,2022-06-21,ranger,Yekke,low,difficult,"cooler_mornings, surface_water_remaining, dog_movement_high",68,2,6,2,0,105,high,1,Synthetic ranger field report,2,0,1,1,0,0,0,0,1,0,0,0,1
323,Outstation A,1,2022-06-26,veterinarian,Yekke,medium,moderate,"cooler_mornings, surface_water_remaining",88,11,5,7,0,95,low,1,Synthetic ranger field report,2,0,1,1,1,0,1,0,0,0,1,0,1
51,Gunbalanya,1,2022-06-29,ranger,Yekke,medium,moderate,"cooler_mornings, surface_water_remaining",76,6,2,6,0,70,medium,0,Synthetic ranger field report,1,1,0,1,0,1,1,0,1,0,1,0,1
412,Croker Camp,1,2022-07-04,waldhep_staff,Wurrkeng,medium,difficult,"cool_dry, low_humidity",28,4,2,6,2,160,medium,1,Synthetic ranger field report,8,1,0,1,1,0,1,1,0,0,1,0,1
7,Maningrida,1,2022-07-11,ranger,Wurrkeng,low,difficult,"cool_dry, low_humidity",180,12,2,2,0,120,medium,1,Synthetic ranger field report,5,0,0,1,1,1,1,0,1,0,1,1,1
277,Minjilang,1,2022-07-14,ranger,Wurrkeng,medium,difficult,"cool_dry, low_humidity, dog_movement_high",133,8,2,3,1,230,high,0,Synthetic ranger field report,1,1,0,1,0,0,0,1,0,0,0,1,1
139,Jabiru,1,2022-07-18,ranger,Wurrkeng,medium,easy,"cool_dry, low_humidity",95,6,1,4,2,40,medium,1,Synthetic ranger field report,3,1,1,1,0,0,1,0,0,1,1,0,1
231,Ramingining,1,2022-07-18,ranger,Wurrkeng,low,difficult,"cool_dry, low_humidity, dog_movement_high",119,17,4,4,0,190,high,0,Synthetic ranger field report,3,0,1,1,0,1,1,0,1,1,1,0,1
324,Outstation A,1,2022-07-21,ranger,Wurrkeng,low,moderate,"cool_dry, low_humidity",61,4,4,1,0,95,medium,0,Synthetic ranger field report,3,1,0,0,1,0,0,0,0,0,0,1,0
185,Milingimbi,1,2022-07-22,waldhep_staff,Wurrkeng,low,difficult,"cool_dry, low_humidity",57,2,3,3,0,210,medium,1,Synthetic ranger field report,8,1,0,1,0,0,1,1,1,1,1,0,1
96,Warruwi,1,2022-07-28,ranger,Wurrkeng,low,difficult,"cool_dry, low_humidity",139,13,4,3,0,180,medium,0,Synthetic ranger field report,2,1,1,1,1,1,0,1,0,0,0,0,1
367,Outstation B,1,2022-07-28,ranger,Wurrkeng,medium,difficult,"cool_dry, low_humidity",64,9,4,3,0,105,low,0,Synthetic ranger field report,4,1,1,0,1,1,1,1,1,1,0,0,1
52,Gunbalanya,1,2022-08-06,ranger,Wurrkeng,medium,moderate,"cool_dry, low_humidity",101,7,3,4,1,70,medium,0,Synthetic ranger field report,1,1,1,0,0,1,0,0,0,1,1,1,0
413,Croker Camp,1,2022-08-11,ranger,Wurrkeng,low,difficult,"cool_dry, low_humidity",24,2,2,2,0,160,medium,1,Synthetic ranger field report,8,1,1,0,0,0,1,1,0,0,1,1,1
8,Maningrida,1,2022-08-15,ranger,Wurrkeng,medium,difficult,"cool_dry, low_humidity",136,11,1,4,0,120,medium,1,Synthetic ranger field report,5,1,1,0,1,0,0,1,0,0,1,0,0
278,Minjilang,1,2022-08-21,ranger,Wurrkeng,medium,difficult,"cool_dry, low_humidity",76,0,3,4,1,230,medium,0,Synthetic ranger field report,2,0,1,0,0,0,1,1,0,1,0,0,0
140,Jabiru,1,2022-08-22,waldhep_staff,Wurrkeng,medium,easy,"cool_dry, low_humidity, dog_movement_high",20,3,2,5,0,40,high,0,Synthetic ranger field report,1,0,0,0,1,1,0,1,1,1,0,0,0
368,Outstation B,1,2022-08-23,veterinarian,Wurrkeng,low,difficult,"cool_dry, low_humidity",62,4,2,3,0,105,medium,1,Synthetic ranger field report,5,0,1,1,0,1,0,0,1,1,0,1,1
97,Warruwi,1,2022-08-26,ranger,Wurrkeng,high,difficult,"cool_dry, low_humidity, standing_water",47,6,2,8,1,180,medium,1,Synthetic ranger field report,3,1,0,0,1,1,1,1,0,0,0,0,1
232,Ramingining,1,2022-08-26,ranger,Wurrkeng,medium,difficult,"cool_dry, low_humidity",180,16,4,6,0,190,low,0,Synthetic ranger field report,4,0,0,1,0,0,1,1,0,1,1,0,0
325,Outstation A,1,2022-08-28,ranger,Wurrkeng,low,moderate,"cool_dry, low_humidity, dog_movement_high",136,16,6,4,2,95,high,1,Synthetic ranger field report,5,1,1,1,0,0,1,0,1,1,0,0,0
186,Milingimbi,1,2022-08-31,ranger,Wurrkeng,medium,difficult,"cool_dry, low_humidity, dog_movement_high",30,4,3,6,1,210,high,0,Synthetic ranger field report,1,1,1,1,1,0,1,1,0,1,1,0,1
53,Gunbalanya,1,2022-09-02,ranger,Kurrung,low,moderate,"hot_dry, thunderclouds_building",48,4,2,1,0,70,medium,0,Synthetic ranger field report,2,0,0,0,0,0,0,0,1,1,0,1,1
9,Maningrida,1,2022-09-12,ranger,Kurrung,low,difficult,"hot_dry, thunderclouds_building",21,3,5,3,1,120,low,0,Synthetic ranger field report,1,0,1,1,0,1,1,0,0,0,1,1,1
369,Outstation B,1,2022-09-17,ranger,Kurrung,low,difficult,"hot_dry, thunderclouds_building, dog_movement_high",43,3,5,4,0,105,high,1,Synthetic ranger field report,5,0,1,1,0,1,1,0,0,1,0,1,1
414,Croker Camp,1,2022-09-20,veterinarian,Kurrung,medium,difficult,"hot_dry, thunderclouds_building",61,6,2,2,0,160,medium,1,Synthetic ranger field report,9,1,0,1,1,0,0,0,0,1,1,1,1
233,Ramingining,1,2022-09-22,ranger,Kurrung,high,difficult,"hot_dry, thunderclouds_building, standing_water, dog_movement_high",70,8,5,6,0,190,high,1,Synthetic ranger field report,5,0,1,1,0,1,1,0,0,1,1,1,1
141,Jabiru,1,2022-09-26,waldhep_staff,Kurrung,low,easy,"hot_dry, thunderclouds_building",72,11,4,4,1,40,medium,0,Synthetic ranger field report,2,1,0,1,0,0,1,0,1,1,1,1,1
98,Warruwi,1,2022-09-28,veterinarian,Kurrung,low,difficult,"hot_dry, thunderclouds_building",58,7,5,4,1,180,medium,1,Synthetic ranger field report,5,1,0,0,1,0,0,0,1,1,1,1,1
279,Minjilang,1,2022-09-29,ranger,Kurrung,medium,difficult,"hot_dry, thunderclouds_building",27,3,3,5,1,230,low,0,Synthetic ranger field report,2,0,0,1,1,0,1,1,1,1,0,0,0
187,Milingimbi,1,2022-10-03,waldhep_staff,Kurrung,medium,difficult,"hot_dry, thunderclouds_building",76,4,4,4,1,210,medium,0,Synthetic ranger field report,3,1,0,1,1,0,1,0,0,0,1,1,0
326,Outstation A,1,2022-10-05,ranger,Kurrung,medium,moderate,"hot_dry, thunderclouds_building",70,5,2,3,1,95,low,0,Synthetic ranger field report,1,1,1,1,0,1,0,1,0,1,0,0,1
54,Gunbalanya,1,2022-10-06,ranger,Kurrung,low,moderate,"hot_dry, thunderclouds_building, dog_movement_high",20,1,3,0,0,70,high,0,Synthetic ranger field report,2,1,0,0,1,0,0,0,0,0,0,0,1
370,Outstation B,1,2022-10-17,veterinarian,Kurrung,medium,difficult,"hot_dry, thunderclouds_building",92,8,3,6,1,105,low,0,Synthetic ranger field report,1,0,1,0,0,0,0,1,1,0,0,0,1
415,Croker Camp,1,2022-10-18,waldhep_staff,Kurrung,medium,difficult,"hot_dry, thunderclouds_building",20,3,3,6,1,160,low,0,Synthetic ranger field report,1,1,0,1,0,1,1,1,1,0,1,0,0
10,Maningrida,1,2022-10-21,veterinarian,Kurrung,low,difficult,"hot_dry, thunderclouds_building, dog_movement_high",129,6,3,3,1,120,high,0,Synthetic ranger field report,2,0,0,0,1,0,0,0,1,0,1,1,0
188,Milingimbi,1,2022-10-29,ranger,Kurrung,medium,difficult,"hot_dry, thunderclouds_building, dog_movement_high",42,7,2,5,1,210,high,0,Synthetic ranger field report,3,1,1,1,1,0,1,1,0,1,0,1,1
234,Ramingining,1,2022-10-29,ranger,Kurrung,low,difficult,"hot_dry, thunderclouds_building",74,7,3,3,2,190,low,1,Synthetic ranger field report,5,1,1,1,1,0,0,1,0,1,1,0,1
280,Minjilang,1,2022-10-30,ranger,Kurrung,low,difficult,"hot_dry, thunderclouds_building",34,5,4,2,0,230,medium,0,Synthetic ranger field report,2,0,0,1,0,0,0,1,1,0,0,1,0
142,Jabiru,1,2022-10-31,ranger,Kurrung,high,easy,"hot_dry, thunderclouds_building, standing_water",50,6,6,7,1,40,low,1,Synthetic ranger field report,3,1,1,1,0,0,1,1,0,0,1,0,1
99,Warruwi,1,2022-11-04,waldhep_staff,Kunumeleng,medium,difficult,"humid_build_up, afternoon_storms, mosquitoes_rising, dog_movement_high",121,11,6,6,2,180,high,1,Synthetic ranger field report,5,1,0,1,1,0,1,0,0,1,0,0,1
55,Gunbalanya,1,2022-11-05,ranger,Kunumeleng,high,moderate,"humid_build_up, afternoon_storms, mosquitoes_rising, standing_water",64,9,4,8,0,70,medium,1,Synthetic ranger field report,2,1,0,1,1,0,1,0,0,0,0,1,0
327,Outstation A,1,2022-11-14,ranger,Kunumeleng,medium,moderate,"humid_build_up, afternoon_storms, mosquitoes_rising",53,9,4,4,2,95,low,1,Synthetic ranger field report,2,1,1,1,1,0,1,0,0,0,0,0,0
371,Outstation B,1,2022-11-18,ranger,Kunumeleng,high,difficult,"humid_build_up, afternoon_storms, mosquitoes_rising, standing_water, dog_movement_high",94,12,7,5,1,105,high,1,Synthetic ranger field report,1,1,0,0,0,1,1,1,1,1,1,1,1
416,Croker Camp,1,2022-11-18,waldhep_staff,Kunumeleng,medium,difficult,"humid_build_up, afternoon_storms, mosquitoes_rising",30,3,4,4,1,160,medium,0,Synthetic ranger field report,3,1,0,1,1,1,1,0,1,0,0,1,0
11,Maningrida,1,2022-11-22,ranger,Kunumeleng,high,difficult,"humid_build_up, afternoon_storms, mosquitoes_rising, standing_water, dog_movement_high",45,5,4,9,0,120,high,1,Synthetic ranger field report,4,1,1,1,1,1,1,0,1,1,0,0,1
281,Minjilang,1,2022-11-24,ranger,Kunumeleng,low,difficult,"humid_build_up, afternoon_storms, mosquitoes_rising, dog_movement_high",52,11,6,0,0,230,high,1,Synthetic ranger field report,3,0,1,1,1,0,1,1,1,0,0,1,0
235,Ramingining,1,2022-11-26,ranger,Kunumeleng,medium,difficult,"humid_build_up, afternoon_storms, mosquitoes_rising",130,15,2,3,1,190,medium,1,Synthetic ranger field report,6,1,0,1,0,1,1,1,1,0,1,1,1
189,Milingimbi,1,2022-11-28,ranger,Kunumeleng,high,difficult,"humid_build_up, afternoon_storms, mosquitoes_rising, standing_water, dog_movement_high",166,23,9,9,0,210,high,1,Synthetic ranger field report,5,1,0,0,1,0,1,1,0,1,1,0,1
143,Jabiru,1,2022-12-01,ranger,Kudjewk,medium,easy,"monsoon_building, flooded_ground, mosquitoes_high",38,5,6,2,1,40,medium,1,Synthetic ranger field report,4,1,0,1,0,1,0,0,0,1,0,1,1
56,Gunbalanya,1,2022-12-04,ranger,Kudjewk,high,moderate,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",65,9,6,4,0,70,high,1,Synthetic ranger field report,1,1,0,0,0,0,1,0,1,1,1,0,1
100,Warruwi,1,2022-12-12,waldhep_staff,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",66,6,5,5,1,180,medium,0,Synthetic ranger field report,1,1,1,1,1,1,1,0,1,0,1,1,1
328,Outstation A,1,2022-12-21,ranger,Kudjewk,high,moderate,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",90,15,7,10,1,95,low,1,Synthetic ranger field report,3,1,1,0,1,1,0,1,0,0,0,1,1
372,Outstation B,1,2022-12-22,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high",44,9,6,6,2,105,low,1,Synthetic ranger field report,1,0,1,0,0,1,1,1,1,0,1,0,1
12,Maningrida,1,2022-12-23,veterinarian,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",67,9,8,5,0,120,low,1,Synthetic ranger field report,1,0,1,0,1,0,1,0,1,0,0,1,1
236,Ramingining,1,2022-12-24,ranger,Kudjewk,medium,difficult,"monsoon_building, flooded_ground, mosquitoes_high",131,8,7,7,1,190,medium,1,Synthetic ranger field report,6,0,1,1,0,0,0,0,1,1,1,1,0
282,Minjilang,1,2022-12-24,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",50,10,8,3,1,230,high,1,Synthetic ranger field report,5,1,1,1,0,1,1,0,1,1,1,0,0
417,Croker Camp,1,2022-12-24,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",41,6,8,5,0,160,high,1,Synthetic ranger field report,4,1,1,1,0,1,0,0,1,0,1,1,0
144,Jabiru,1,2023-01-03,ranger,Kudjewk,high,easy,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",36,5,7,4,0,40,high,1,Synthetic ranger field report,6,1,0,1,1,1,0,1,0,0,0,0,1
190,Milingimbi,1,2023-01-06,waldhep_staff,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water, dog_movement_high",34,4,9,9,0,210,high,1,Synthetic ranger field report,6,1,1,1,0,1,1,0,1,0,0,0,1
101,Warruwi,1,2023-01-12,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",76,12,9,9,2,180,low,1,Synthetic ranger field report,3,1,0,1,1,1,1,1,1,0,1,1,0
57,Gunbalanya,1,2023-01-13,waldhep_staff,Kudjewk,high,moderate,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",169,34,8,3,1,70,low,1,Synthetic ranger field report,1,1,1,1,0,0,0,1,1,1,0,1,1
373,Outstation B,1,2023-01-18,ranger,Kudjewk,high,difficult,"monsoon_building, flooded_ground, mosquitoes_high, standing_water",85,10,5,5,1,105,medium,0,Synthetic ranger field report,1,0,0,0,0,0,1,1,0,1,0,1,1
